Time, Torque, Angle
0,0.14627199,0
0.00175,0.14859378,0
0.00375,0.14627199,0
0.00575,0.14859378,0
0.00775,0.15555911,0
0.00975,0.15323733,0
0.011750001,0.15788089,0
0.013750001,0.15323733,0
0.01575,0.14395021,0
0.017749999,0.14859378,0
0.019749999,0.14627199,0
0.02175,0.14627199,0
0.02375,0.15555911,0
0.02575,0.15323733,0
0.02775,0.15555911,0
0.029749999,0.14859378,0
0.03175,0.15091555,0
0.03375,0.15091555,0
0.035749998,0.14859378,0
0.03775,0.15091555,0
0.03975,0.15323733,0
0.04175,0.15323733,0
0.04375,0.15323733,0
0.04575,0.15091555,0
0.04775,0.15091555,0
0.04975,0.15091555,0
0.05175,0.14395021,0
0.05375,0.14627199,0
0.05575,0.14859378,0
0.057749998,0.15323733,0
0.05975,0.15323733,0
0.06175,0.15323733,0
0.063750006,0.14859378,0
0.06575,0.14859378,0
0.06775001,0.14627199,0
0.06975,0.15091555,0
0.07175,0.15091555,0
0.073750004,0.14859378,0
0.07575,0.15323733,0
0.077750005,0.15091555,0
0.07975,0.15091555,0
0.081750005,0.15091555,0
0.08375,0.15323733,0
0.085750006,0.14627199,0
0.08775,0.15788089,0
0.08975001,0.15788089,0
0.09175,0.16020265,0
0.09375,0.16252443,0
0.095750004,0.16020265,0
0.09775,0.15788089,0
0.099750005,0.15555911,0
0.10175,0.15555911,0
0.103750005,0.15788089,0
0.10575,0.15788089,0
0.107750006,0.16252443,0
0.10975,0.16252443,0
0.11175001,0.16252443,0
0.11375,0.15788089,0
0.11575,0.15788089,0
0.117750004,0.15788089,0
0.11975,0.15788089,0
0.121750005,0.16252443,0
0.12375,0.16484621,0
0.12575,0.16948979,0
0.12775001,0.16252443,0
0.129749,0.18109865,0
0.13175,0.1764551,0
0.13375,0.1764551,0
0.13575001,0.17877686,0
0.13775,0.1764551,0
0.13975,0.1764551,0
0.14175001,0.18342043,0
0.14375,0.18806398,0
0.14575,0.18342043,0
0.14775,0.18342043,0
0.14975001,0.18109865,0
0.15175,0.17181155,0
0.15375,0.17877686,0
0.15575,0.1764551,0
0.15775001,0.18109865,0
0.15975,0.18574221,0
0.16175,0.18342043,0
0.16375001,0.18109865,0
0.16575,0.1764551,0
0.16775,0.17413333,0
0.16975,0.17413333,0
0.17175001,0.16716799,0
0.17375,0.16948979,0
0.17575,0.16716799,0
0.17775,0.16948979,0
0.17975001,0.16948979,0
0.18175,0.16484621,0
0.18375,0.15555911,0
0.18575001,0.15323733,0
0.18775,0.14859378,0
0.18975,0.15091555,0
0.19175,0.15555911,0
0.19375001,0.15323733,0
0.19575,0.15323733,0
0.19775,0.15091555,0
0.19975,0.15091555,0
0.20175001,0.14395021,0
0.20375,0.14627199,0
0.20575,0.14627199,0
0.20775001,0.14627199,0
0.20975,0.15323733,0
0.21175,0.15555911,0
0.21375,0.15555911,0
0.21575001,0.15323733,0
0.21775,0.15555911,0
0.21975,0.15323733,0
0.22175,0.16252443,0
0.22375001,0.16252443,0
0.22575,0.16716799,0
0.22775,0.17413333,0
0.22975,0.1764551,0
0.23175,0.1764551,0
0.23375,0.1764551,0
0.23575,0.18109865,0
0.23775001,0.1764551,0
0.23975,0.1764551,0
0.24175,0.18342043,0
0.24375,0.18574221,0
0.24575001,0.18806398,0
0.24775,0.18574221,0
0.24975,0.18342043,0
0.25175,0.1764551,0
0.25375,0.1764551,0
0.25575,0.1764551,0
0.257749,0.17877686,0
0.259749,0.18109865,0
0.26174998,0.18109865,0
0.26375,0.18342043,0
0.26575,0.17877686,0
0.26775,0.17181155,0
0.26975,0.1764551,0
0.27175,0.17877686,0
0.27374998,0.17877686,0
0.27574998,0.18342043,0
0.27775,0.18574221,0
0.27975,0.18109865,0
0.28175,0.1764551,0
0.28375,0.17413333,0
0.28575,0.16716799,0
0.28774998,0.16716799,0
0.28974998,0.16948979,0
0.29174998,0.16948979,0
0.29375,0.17181155,0
0.29575,0.17181155,0
0.29775,0.16948979,0
0.29975,0.16716799,0
0.30174997,0.16252443,0
0.30374998,0.16020265,0
0.30574998,0.16020265,0
0.30775,0.16484621,0
0.30975,0.16484621,0
0.31175,0.16484621,0
0.31375,0.15788089,0
0.31575,0.15788089,0
0.31774998,0.15323733,0
0.31974998,0.15091555,0
0.32175,0.15091555,0
0.32375,0.15555911,0
0.32575,0.15555911,0
0.32775,0.15555911,0
0.32975,0.15323733,0
0.33174998,0.15091555,0
0.33374998,0.14859378,0
0.33574998,0.14627199,0
0.33775,0.14395021,0
0.33975,0.14627199,0
0.34175,0.15091555,0
0.34375,0.15323733,0
0.34574997,0.15091555,0
0.34774998,0.15091555,0
0.34974998,0.14859378,0
0.35175,0.14627199,0
0.35375,0.14395021,0
0.35575,0.14395021,0
0.35775,0.14627199,0
0.35975,0.14627199,0
0.36174998,0.14395021,0
0.36374998,0.14627199,0
0.36574998,0.14162844,0
0.36775,0.13698487,0
0.36975,0.13466309,0
0.37175,0.13466309,0
0.37375,0.13698487,0
0.37574998,0.13930666,0
0.37774998,0.14395021,0
0.37974998,0.13930666,0
0.38175,0.13466309,0
0.38375,0.13001955,0
0.38575,0.12769777,0
0.38775,0.12769777,0
0.38974997,0.13234133,0
0.39174998,0.13001955,0
0.39374998,0.13234133,0
0.39575,0.13466309,0
0.39775,0.13234133,0
0.39975,0.12769777,0
0.40175,0.125376,0
0.40375,0.12305422,0
0.40574998,0.12073244,0
0.40774998,0.12769777,0
0.40974998,0.13001955,0
0.41175,0.13234133,0
0.41375,0.13234133,0
0.41575,0.12769777,0
0.41775,0.125376,0
0.41974998,0.12305422,0
0.42174998,0.12769777,0
0.42374998,0.13001955,0
0.42575,0.13466309,0
0.42775,0.13466309,0
0.42975,0.13466309,0
0.43175,0.13001955,0
0.43374997,0.12769777,0
0.43574998,0.125376,0
0.43774998,0.125376,0
0.43975,0.13234133,0
0.44175,0.13234133,0
0.44375,0.13234133,0
0.44575,0.13234133,0
0.44775,0.13466309,0
0.44974998,0.13466309,0
0.45174998,0.13001955,0
0.45374998,0.13234133,0
0.45575,0.13234133,0
0.45775,0.13698487,0
0.45975,0.13466309,0
0.46175,0.13466309,0
0.46374997,0.13466309,0
